@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %06s "MYCELL"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720882
@ CHARGE           %le                   1
@ ENERGY           %le                7000
@ PC               %le         6999.999937
@ GAMMA            %le         7460.522474
@ KBUNCH           %le                   1
@ BCURRENT         %le     4.803204626e-13
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                 100
@ ALFA             %le     0.0005511962419
@ ORBIT5           %le                  -0
@ GAMMATR          %le         42.59384793
@ Q1               %le        0.2500001236
@ Q2               %le        0.2500001249
@ DQ1              %le     -9.88799111e-14
@ DQ2              %le    -7.845368214e-15
@ DXMAX            %le         2.303523542
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         168.6095162
@ BETYMAX          %le         168.6347433
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.729568871
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ SYNCH_6          %le                   0
@ SYNCH_8          %le                   0
@ DQMIN            %le                   0
@ DQMIN_PHASE      %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.09.00 Darwin 64"
@ DATE             %08s "18/01/24"
@ TIME             %08s "20.36.26"
* NAME                                S               BETX               BETY                 DX                K1L                K2L 
$ %s                                %le                %le                %le                %le                %le                %le 
 "MYCELL$START"                       0        162.5516552        30.94157403        2.261508585                  0                  0
 "DRIFT_0"                        0.625        165.5597284        30.29444543        2.282451811                  0                  0
 "Q1..1"                          0.625        165.5597284        30.29444543        2.282451811     0.009757448673                  0
 "DRIFT_1"                          2.5        168.6095162        29.63121051        2.303523542                  0                  0
 "Q1"                               2.5        168.6095162        29.63121051        2.303523542                  0                  0
 "Q1..2"                            2.5        168.6095162        29.63121051        2.303523542     0.009757448673                  0
 "DRIFT_2"                        4.375        165.5597284        30.29444543        2.282451811                  0                  0
 "Q1..3"                          4.375        165.5597284        30.29444543        2.282451811     0.009757448673                  0
 "DRIFT_3"                       5.0625        162.2526266        31.00806664        2.259414262                  0                  0
 "S1..1"                         5.0625        162.2526266        31.00806664        2.259414262                  0     0.004543568985
 "DRIFT_4"                         5.25        161.3574812          31.209486        2.253131294                  0                  0
 "S1"                              5.25        161.3574812          31.209486        2.253131294                  0                  0
 "S1..2"                           5.25        161.3574812          31.209486        2.253131294                  0     0.004543568985
 "DRIFT_5"                       5.4375        160.4652465        31.41381767        2.246848326                  0                  0
 "S1..3"                         5.4375        160.4652465        31.41381767        2.246848326                  0     0.004543568985
 "DRIFT_6"                           10        139.6513255        37.28352738        2.093962771                  0                  0
 "B1_DEN"                            10        139.6513255        37.28352738        2.093962771                  0                  0
 "DRIFT_7"                       11.875        131.5973191        40.19568362        2.031133091                  0                  0
 "B1..1"                         11.875        131.5973191        40.19568362        2.031133091                  0                  0
 "DRIFT_8"                         17.5         109.179502        50.67953909        1.858632303                  0                  0
 "B1"                              17.5         109.179502        50.67953909        1.858632303                  0                  0
 "B1..2"                           17.5         109.179502        50.67953909        1.858632303                  0                  0
 "DRIFT_9"                       23.125        89.37989569        63.78447468        1.702121339                  0                  0
 "B1..3"                         23.125        89.37989569        63.78447468        1.702121339                  0                  0
 "DRIFT_10"                          25        83.36181222         68.7352488        1.655281435                  0                  0
 "B1_DEX"                            25        83.36181222         68.7352488        1.655281435                  0                  0
 "DRIFT_11"                          30        68.73719562        83.36110973        1.530375023                  0                  0
 "B2_DEN"                            30        68.73719562        83.36110973        1.530375023                  0                  0
 "DRIFT_12"                      31.875        63.78681664         89.3797313        1.483535118                  0                  0
 "B2..1"                         31.875        63.78681664         89.3797313        1.483535118                  0                  0
 "DRIFT_13"                        37.5        50.68180166        109.1829828        1.359008646                  0                  0
 "B2"                              37.5        50.68180166        109.1829828        1.359008646                  0                  0
 "B2..2"                           37.5        50.68180166        109.1829828        1.359008646                  0                  0
 "DRIFT_14"                      43.125        40.19696259        131.6073144        1.250476549                  0                  0
 "B2..3"                         43.125        40.19696259        131.6073144        1.250476549                  0                  0
 "DRIFT_15"                          45        37.28427178        139.6645539        1.219630972                  0                  0
 "B2_DEX"                            45        37.28427178        139.6645539        1.219630972                  0                  0
 "DRIFT_16"                      50.625        30.29378198         165.583659         1.12709424                  0                  0
 "Q2..1"                         50.625        30.29378198         165.583659         1.12709424    -0.009760110448                  0
 "DRIFT_17"                        52.5        29.63040934        168.6347433        1.116874721                  0                  0
 "Q2"                              52.5        29.63040934        168.6347433        1.116874721                  0                  0
 "Q2..2"                           52.5        29.63040934        168.6347433        1.116874721    -0.009760110448                  0
 "DRIFT_18"                      54.375        30.29378198         165.583659         1.12709424                  0                  0
 "Q2..3"                         54.375        30.29378198         165.583659         1.12709424    -0.009760110448                  0
 "DRIFT_19"                     55.0625         31.0075595        162.2751685        1.138404285                  0                  0
 "S2..1"                        55.0625         31.0075595        162.2751685        1.138404285                  0    -0.008968494866
 "DRIFT_20"                       55.25        31.20902225        161.3796482        1.141488843                  0                  0
 "S2"                             55.25        31.20902225        161.3796482        1.141488843                  0                  0
 "S2..2"                          55.25        31.20902225        161.3796482        1.141488843                  0    -0.008968494866
 "DRIFT_21"                     55.4375        31.41339764        160.4870403        1.144573401                  0                  0
 "S2..3"                        55.4375        31.41339764        160.4870403        1.144573401                  0    -0.008968494866
 "DRIFT_22"                          60        37.28427178        139.6645539        1.219630972                  0                  0
 "B3_DEN"                            60        37.28427178        139.6645539        1.219630972                  0                  0
 "DRIFT_23"                      61.875        40.19696259        131.6073144        1.250476549                  0                  0
 "B3..1"                         61.875        40.19696259        131.6073144        1.250476549                  0                  0
 "DRIFT_24"                        67.5        50.68180166        109.1829828        1.359008646                  0                  0
 "B3"                              67.5        50.68180166        109.1829828        1.359008646                  0                  0
 "B3..2"                           67.5        50.68180166        109.1829828        1.359008646                  0                  0
 "DRIFT_25"                      73.125        63.78681664         89.3797313        1.483535118                  0                  0
 "B3..3"                         73.125        63.78681664         89.3797313        1.483535118                  0                  0
 "DRIFT_26"                          75        68.73719562        83.36110973        1.530375023                  0                  0
 "B3_DEX"                            75        68.73719562        83.36110973        1.530375023                  0                  0
 "DRIFT_27"                          80        83.36181222         68.7352488        1.655281435                  0                  0
 "B4_DEN"                            80        83.36181222         68.7352488        1.655281435                  0                  0
 "DRIFT_28"                      81.875        89.37989569        63.78447468        1.702121339                  0                  0
 "B4..1"                         81.875        89.37989569        63.78447468        1.702121339                  0                  0
 "DRIFT_29"                        87.5         109.179502        50.67953909        1.858632303                  0                  0
 "B4"                              87.5         109.179502        50.67953909        1.858632303                  0                  0
 "B4..2"                           87.5         109.179502        50.67953909        1.858632303                  0                  0
 "DRIFT_30"                      93.125        131.5973191        40.19568362        2.031133091                  0                  0
 "B4..3"                         93.125        131.5973191        40.19568362        2.031133091                  0                  0
 "DRIFT_31"                          95        139.6513255        37.28352738        2.093962771                  0                  0
 "B4_DEX"                            95        139.6513255        37.28352738        2.093962771                  0                  0
 "DRIFT_32"                         100        162.5516552        30.94157403        2.261508585                  0                  0
 "MYCELL$END"                       100        162.5516552        30.94157403        2.261508585                  0                  0
